,data_indexes,lables,Latitude,Longitude,Parent Incident Type
1,1,0,42.896,-78.886,Assault
4,4,0,42.874,-78.871,Robbery
7,7,0,42.907,-78.854,Theft
16,16,0,42.887,-78.873,Robbery
22,25,0,42.917,-78.863,Theft
25,28,0,42.919,-78.869,Sexual Offense
26,29,0,42.873,-78.86,Robbery
32,35,0,42.911,-78.851,Theft
34,37,0,42.906,-78.887,Theft of Vehicle
38,42,0,42.898,-78.888,Breaking & Entering
47,52,0,42.902,-78.891,Theft
48,53,0,42.901,-78.877,Assault
49,54,0,42.914,-78.886,Assault
52,57,0,42.9,-78.893,Theft
54,59,0,42.917,-78.886,Theft
59,65,0,42.89,-78.875,Theft
61,67,0,42.89,-78.875,Assault
67,73,0,42.888,-78.871,Theft
68,74,0,42.91,-78.858,Theft
70,76,0,42.891,-78.857,Theft
74,80,0,42.891,-78.874,Theft of Vehicle
76,82,0,42.896,-78.845,Theft
83,91,0,42.9,-78.882,Breaking & Entering
89,97,0,42.878,-78.857,Theft
93,101,0,42.916,-78.855,Theft of Vehicle
96,104,0,42.892,-78.881,Theft
97,105,0,42.91,-78.865,Assault
99,107,0,42.917,-78.889,Breaking & Entering
101,109,0,42.894,-78.873,Theft of Vehicle
113,122,0,42.907,-78.9,Robbery
114,123,0,42.886,-78.871,Theft
116,125,0,42.905,-78.89,Theft
117,127,0,42.922,-78.865,Breaking & Entering
123,133,0,42.888,-78.882,Theft
129,141,0,42.905,-78.893,Theft of Vehicle
131,143,0,42.912,-78.89,Assault
134,146,0,42.904,-78.888,Theft of Vehicle
139,152,0,42.913,-78.882,Theft
143,156,0,42.903,-78.869,Assault
147,160,0,42.919,-78.864,Theft
148,161,0,42.917,-78.887,Assault
152,165,0,42.91,-78.895,Theft
153,166,0,42.914,-78.885,Theft of Vehicle
157,170,0,42.893,-78.886,Assault
159,172,0,42.906,-78.888,Theft
162,175,0,42.874,-78.871,Theft
168,181,0,42.905,-78.877,Theft
170,184,0,42.916,-78.852,Assault
176,190,0,42.907,-78.885,Theft
178,192,0,42.898,-78.894,Robbery
180,194,0,42.917,-78.877,Robbery
182,196,0,42.891,-78.878,Robbery
183,197,0,42.908,-78.893,Theft of Vehicle
191,205,0,42.893,-78.879,Assault
192,206,0,42.916,-78.891,Theft of Vehicle
197,212,0,42.898,-78.854,Robbery
207,222,0,42.898,-78.89,Theft
209,224,0,42.912,-78.877,Homicide
218,234,0,42.913,-78.878,Breaking & Entering
225,241,0,42.899,-78.897,Theft
226,242,0,42.907,-78.888,Assault
231,247,0,42.882,-78.853,Assault
232,248,0,42.916,-78.89,Theft
233,249,0,42.907,-78.893,Theft of Vehicle
237,253,0,42.874,-78.866,Theft
242,258,0,42.899,-78.871,Breaking & Entering
243,259,0,42.901,-78.881,Theft
244,260,0,42.873,-78.863,Robbery
245,261,0,42.891,-78.866,Theft
246,262,0,42.894,-78.881,Theft
248,264,0,42.875,-78.871,Theft
250,266,0,42.875,-78.871,Theft
257,273,0,42.881,-78.857,Theft of Vehicle
259,275,0,42.915,-78.881,Theft of Vehicle
261,277,0,42.872,-78.864,Assault
263,279,0,42.89,-78.877,Theft of Vehicle
265,281,0,42.914,-78.88,Theft
267,283,0,42.89,-78.877,Theft of Vehicle
269,285,0,42.918,-78.877,Theft
271,287,0,42.915,-78.864,Theft of Vehicle
272,288,0,42.917,-78.852,Assault
274,290,0,42.908,-78.899,Theft
275,291,0,42.912,-78.871,Theft
276,292,0,42.873,-78.865,Theft
287,304,0,42.911,-78.877,Assault
288,305,0,42.897,-78.877,Theft
289,306,0,42.906,-78.852,Breaking & Entering
291,308,0,42.899,-78.848,Theft of Vehicle
293,311,0,42.882,-78.873,Assault
298,316,0,42.918,-78.89,Theft of Vehicle
300,319,0,42.914,-78.889,Theft
301,320,0,42.909,-78.889,Breaking & Entering
310,329,0,42.87,-78.868,Theft
314,333,0,42.911,-78.867,Theft
315,334,0,42.887,-78.873,Theft
316,335,0,42.898,-78.857,Assault
318,337,0,42.899,-78.87,Breaking & Entering
319,338,0,42.883,-78.861,Theft of Vehicle
320,339,0,42.901,-78.854,Assault
323,342,0,42.876,-78.871,Theft
327,346,0,42.902,-78.873,Theft
330,349,0,42.899,-78.87,Breaking & Entering
331,350,0,42.915,-78.892,Robbery
337,356,0,42.9,-78.889,Theft
347,368,0,42.909,-78.879,Theft
351,372,0,42.907,-78.894,Theft
352,373,0,42.897,-78.867,Robbery
353,374,0,42.911,-78.877,Theft
357,378,0,42.911,-78.886,Robbery
359,380,0,42.914,-78.877,Theft
365,386,0,42.902,-78.863,Assault
371,392,0,42.916,-78.851,Theft of Vehicle
374,396,0,42.883,-78.866,Robbery
375,397,0,42.9,-78.854,Theft
376,398,0,42.892,-78.877,Assault
380,402,0,42.886,-78.874,Theft
383,405,0,42.909,-78.887,Theft
385,407,0,42.874,-78.871,Theft
400,422,0,42.902,-78.867,Robbery
401,423,0,42.918,-78.887,Breaking & Entering
402,424,0,42.883,-78.875,Theft
405,427,0,42.884,-78.868,Theft
409,431,0,42.904,-78.871,Assault
414,436,0,42.913,-78.891,Assault
417,439,0,42.913,-78.873,Robbery
421,443,0,42.899,-78.872,Breaking & Entering
