,data_indexes,lables,Latitude,Longitude,Parent Incident Type
0,0,3,42.897,-78.838,Theft
2,2,3,42.85,-78.803,Assault
9,9,3,42.853,-78.804,Theft of Vehicle
10,10,3,42.898,-78.839,Theft of Vehicle
11,11,3,42.893,-78.841,Robbery
13,13,3,42.87,-78.83,Theft of Vehicle
30,33,3,42.848,-78.812,Theft
36,40,3,42.875,-78.831,Theft of Vehicle
41,45,3,42.872,-78.818,Theft
43,47,3,42.853,-78.82,Assault
45,49,3,42.889,-78.808,Theft of Vehicle
51,56,3,42.85,-78.815,Assault
55,60,3,42.855,-78.828,Assault
58,63,3,42.88,-78.841,Assault
64,70,3,42.858,-78.831,Theft
81,87,3,42.851,-78.823,Theft of Vehicle
82,89,3,42.842,-78.809,Theft of Vehicle
90,98,3,42.856,-78.817,Breaking & Entering
92,100,3,42.845,-78.821,Breaking & Entering
94,102,3,42.845,-78.824,Robbery
103,111,3,42.858,-78.813,Assault
106,114,3,42.851,-78.801,Theft of Vehicle
110,119,3,42.88,-78.804,Theft
115,124,3,42.89,-78.845,Assault
118,128,3,42.858,-78.831,Theft
125,136,3,42.893,-78.841,Assault
136,148,3,42.835,-78.81,Breaking & Entering
141,154,3,42.85,-78.815,Theft of Vehicle
142,155,3,42.85,-78.812,Theft
150,163,3,42.851,-78.802,Assault
154,167,3,42.847,-78.828,Theft of Vehicle
160,173,3,42.854,-78.83,Breaking & Entering
164,177,3,42.881,-78.801,Theft
177,191,3,42.871,-78.839,Theft
179,193,3,42.895,-78.83,Theft
195,209,3,42.896,-78.841,Assault
200,215,3,42.855,-78.81,Theft
202,217,3,42.842,-78.818,Theft
204,219,3,42.847,-78.827,Theft
216,232,3,42.889,-78.811,Assault
217,233,3,42.877,-78.847,Theft of Vehicle
220,236,3,42.896,-78.839,Theft
221,237,3,42.895,-78.807,Breaking & Entering
223,239,3,42.858,-78.818,Theft
224,240,3,42.872,-78.853,Theft of Vehicle
228,244,3,42.87,-78.826,Breaking & Entering
