,data_indexes,lables,Latitude,Longitude,Parent Incident Type
5,5,1,42.958,-78.855,Theft
6,6,1,42.954,-78.879,Theft
8,8,1,42.952,-78.888,Theft of Vehicle
12,12,1,42.958,-78.859,Theft of Vehicle
15,15,1,42.958,-78.869,Theft of Vehicle
17,17,1,42.955,-78.878,Theft
21,24,1,42.954,-78.879,Theft
24,27,1,42.95,-78.891,Robbery
29,32,1,42.952,-78.904,Breaking & Entering
31,34,1,42.924,-78.885,Breaking & Entering
46,51,1,42.949,-78.888,Robbery
50,55,1,42.926,-78.893,Theft of Vehicle
56,61,1,42.943,-78.888,Theft
62,68,1,42.947,-78.891,Theft
69,75,1,42.951,-78.878,Theft
72,78,1,42.951,-78.869,Assault
77,83,1,42.951,-78.869,Assault
78,84,1,42.957,-78.897,Theft of Vehicle
79,85,1,42.954,-78.878,Theft
84,92,1,42.958,-78.88,Theft
95,103,1,42.94,-78.894,Assault
107,115,1,42.944,-78.901,Theft
108,116,1,42.955,-78.874,Theft
112,121,1,42.955,-78.874,Theft
132,144,1,42.941,-78.889,Theft of Vehicle
137,150,1,42.948,-78.868,Theft
146,159,1,42.929,-78.894,Theft
158,171,1,42.926,-78.877,Robbery
163,176,1,42.937,-78.891,Theft
165,178,1,42.944,-78.902,Theft
181,195,1,42.955,-78.878,Theft
184,198,1,42.934,-78.9,Assault
193,207,1,42.941,-78.864,Theft
194,208,1,42.939,-78.893,Breaking & Entering
196,210,1,42.925,-78.889,Theft
199,214,1,42.948,-78.859,Theft
201,216,1,42.949,-78.904,Assault
211,226,1,42.958,-78.886,Theft of Vehicle
219,235,1,42.951,-78.869,Theft
230,246,1,42.955,-78.878,Theft
234,250,1,42.937,-78.879,Assault
236,252,1,42.957,-78.907,Theft
239,255,1,42.949,-78.863,Breaking & Entering
251,267,1,42.929,-78.888,Theft of Vehicle
254,270,1,42.946,-78.888,Assault
255,271,1,42.954,-78.879,Theft
258,274,1,42.943,-78.907,Breaking & Entering
260,276,1,42.953,-78.898,Assault
279,296,1,42.95,-78.889,Assault
281,298,1,42.95,-78.897,Breaking & Entering
283,300,1,42.924,-78.897,Theft
285,302,1,42.963,-78.9,Breaking & Entering
290,307,1,42.924,-78.893,Assault
294,312,1,42.947,-78.888,Theft of Vehicle
299,317,1,42.924,-78.879,Theft
304,323,1,42.944,-78.901,Assault
307,326,1,42.95,-78.868,Assault
312,331,1,42.941,-78.9,Robbery
322,341,1,42.954,-78.879,Theft
325,344,1,42.952,-78.868,Theft
326,345,1,42.946,-78.888,Assault
334,353,1,42.959,-78.902,Theft
336,355,1,42.947,-78.869,Theft
343,362,1,42.958,-78.901,Theft
346,366,1,42.948,-78.876,Theft
356,377,1,42.925,-78.888,Breaking & Entering
361,382,1,42.948,-78.859,Theft
