,data_indexes,lables,Latitude,Longitude,Parent Incident Type
3,3,2,42.911,-78.808,Assault
14,14,2,42.93,-78.802,Theft of Vehicle
18,19,2,42.902,-78.839,Theft
19,20,2,42.936,-78.819,Breaking & Entering
20,22,2,42.953,-78.841,Theft of Vehicle
23,26,2,42.902,-78.839,Theft
27,30,2,42.915,-78.814,Theft
28,31,2,42.912,-78.821,Theft of Vehicle
33,36,2,42.902,-78.839,Robbery
35,39,2,42.948,-78.84,Robbery
37,41,2,42.921,-78.848,Theft of Vehicle
39,43,2,42.933,-78.835,Theft of Vehicle
40,44,2,42.94,-78.822,Theft
42,46,2,42.916,-78.821,Theft of Vehicle
44,48,2,42.919,-78.825,Robbery
53,58,2,42.939,-78.835,Theft
57,62,2,42.923,-78.848,Theft of Vehicle
60,66,2,42.942,-78.807,Theft
63,69,2,42.923,-78.8,Theft of Vehicle
65,71,2,42.906,-78.811,Theft of Vehicle
66,72,2,42.926,-78.817,Robbery
71,77,2,42.938,-78.823,Assault
73,79,2,42.954,-78.837,Assault
75,81,2,42.942,-78.802,Theft of Vehicle
80,86,2,42.932,-78.813,Theft of Vehicle
85,93,2,42.923,-78.809,Theft of Vehicle
86,94,2,42.926,-78.814,Theft
87,95,2,42.916,-78.84,Assault
88,96,2,42.924,-78.813,Theft
91,99,2,42.933,-78.815,Assault
98,106,2,42.916,-78.83,Theft of Vehicle
100,108,2,42.912,-78.846,Theft of Vehicle
102,110,2,42.923,-78.815,Assault
104,112,2,42.916,-78.813,Theft
105,113,2,42.911,-78.81,Assault
109,117,2,42.948,-78.814,Theft
111,120,2,42.911,-78.809,Theft
119,129,2,42.94,-78.817,Theft of Vehicle
120,130,2,42.925,-78.815,Breaking & Entering
121,131,2,42.942,-78.808,Theft of Vehicle
122,132,2,42.922,-78.805,Assault
124,135,2,42.916,-78.845,Assault
126,137,2,42.918,-78.829,Assault
127,138,2,42.91,-78.815,Theft of Vehicle
128,140,2,42.921,-78.809,Theft
130,142,2,42.926,-78.814,Theft of Vehicle
133,145,2,42.955,-78.827,Breaking & Entering
135,147,2,42.938,-78.84,Theft
138,151,2,42.916,-78.799,Theft of Vehicle
140,153,2,42.947,-78.815,Assault
144,157,2,42.928,-78.851,Assault
145,158,2,42.914,-78.828,Breaking & Entering
149,162,2,42.947,-78.805,Breaking & Entering
151,164,2,42.906,-78.833,Assault
